DECLARED TABLES: 126   FILES SCANNED: 1047
ZERO-WRITER TABLES: 59
  of which DETECTOR MISSES (live rows > 0, so a writer must exist): 0
ZERO-WRITER AND READ BY CODE (panel that can never fill): 13

sql_name	ident	writers	readers	live_rows	decl	first_writer	first_reader
dente_telegram_chat_links	denteTelegramChatLinks	0	3	0	apps/api/src/db/schema.ts:653	-	apps/api/src/services/communications/channelRouter.ts:129 | apps/api/src/telegram/chatLinks.ts:12
custom_crm_task_types	customCrmTaskTypes	0	1	0	apps/api/src/db/schema.ts:954	-	apps/api/src/db/customCrmTaskTypesQuery.ts:8
dadata_geocoded_addresses	dadataGeocodedAddresses	0	1	0	apps/api/src/db/schema.ts:1285	-	apps/api/src/db/dadataGeocodedAddressesQuery.ts:8
dente_telegram_link_codes	denteTelegramLinkCodes	0	1	0	apps/api/src/db/schema.ts:629	-	apps/api/src/telegram/linkCodes.ts:12
dente_telegram_outbox_delivery_receipts	denteTelegramOutboxDeliveryReceipts	0	1	0	apps/api/src/db/schema.ts:700	-	apps/api/src/telegram/outbox.ts:82
egisz_multiple_diagnoses	egiszMultipleDiagnoses	0	1	0	apps/api/src/db/schema.ts:1182	-	apps/api/src/routes/egisz.ts:179
landing_field_mappings	landingFieldMappings	0	1	0	apps/api/src/db/schema.ts:1041	-	apps/api/src/db/landingFieldMappingsQuery.ts:8
lost_patients_filters	lostPatientsFilters	0	1	0	apps/api/src/db/schema.ts:1081	-	apps/api/src/db/lostPatientsFiltersQuery.ts:40
patient_communication_timelines	patientCommunicationTimelines	0	1	0	apps/api/src/db/schema.ts:1980	-	apps/api/src/db/patientCommunicationTimelinesQuery.ts:35
patient_invoices	patientInvoices	0	1	0	apps/api/src/db/schema.ts:1580	-	apps/api/src/routes/portal.ts:614
rebooking_conversion_rules	rebookingConversionRules	0	1	0	apps/api/src/db/schema.ts:1262	-	apps/api/src/db/rebookingConversionRulesQuery.ts:8
single_session_enforcements	singleSessionEnforcements	0	1	0	apps/api/src/db/schema.ts:1298	-	apps/api/src/db/singleSessionEnforcementsQuery.ts:8
treatment_scenarios	treatmentScenarios	0	1	0	apps/api/src/db/schema.ts:416	-	apps/api/src/services/biAnalyticsWorker.ts:73
advance_deposit_taggings	advanceDepositTaggings	0	0	0	apps/api/src/db/schema.ts:990	-	-
alternative_treatment_plans	alternativeTreatmentPlans	0	0	0	apps/api/src/db/schema.ts:1130	-	-
appointment_channel_inheritances	appointmentChannelInheritances	0	0	0	apps/api/src/db/schema.ts:1786	-	-
bulk_image_operation_logs	bulkImageOperationLogs	0	0	0	apps/api/src/db/schema.ts:1797	-	-
cancellation_reasons_two_level	cancellationReasonsTwoLevel	0	0	0	apps/api/src/db/schema.ts:978	-	-
cash_ledger	cashLedger	0	0	0	apps/api/src/db/schema.ts:2187	-	-
chat_message_dispatch_statuses	chatMessageDispatchStatuses	0	0	0	apps/api/src/db/schema.ts:1809	-	-
collaborative_chat_processing_states	collaborativeChatProcessingStates	0	0	0	apps/api/src/db/schema.ts:1822	-	-
confirmation_performance_reports	confirmationPerformanceReports	0	0	0	apps/api/src/db/schema.ts:1117	-	-
crm_email_dispatch_logs	crmEmailDispatchLogs	0	0	0	apps/api/src/db/schema.ts:966	-	-
custom_examination_form_catalogs	customExaminationFormCatalogs	0	0	0	apps/api/src/db/schema.ts:1170	-	-
dente_telegram_webhook_events	denteTelegramWebhookEvents	0	0	0	apps/api/src/db/schema.ts:677	-	-
diagnocat_ai_findings	diagnocatAiFindings	0	0	0	apps/api/src/db/schema.ts:1834	-	-
digital_receipt_dispatches	digitalReceiptDispatches	0	0	0	apps/api/src/db/schema.ts:1014	-	-
egisz_blank_permissions	egiszBlankPermissions	0	0	0	apps/api/src/db/schema.ts:1847	-	-
extended_odontogram_states	extendedOdontogramStates	0	0	0	apps/api/src/db/schema.ts:1194	-	-
external_schedule_action_logs	externalScheduleActionLogs	0	0	0	apps/api/src/db/schema.ts:1858	-	-
family_recommendation_sources	familyRecommendationSources	0	0	0	apps/api/src/db/schema.ts:1870	-	-
kkm_item_quantity_units	kkmItemQuantityUnits	0	0	0	apps/api/src/db/schema.ts:1053	-	-
message_template_catalogs	messageTemplateCatalogs	0	0	0	apps/api/src/db/schema.ts:1881	-	-
messenger_file_attachments	messengerFileAttachments	0	0	0	apps/api/src/db/schema.ts:1894	-	-
mkb10_auto_directories	mkb10AutoDirectories	0	0	0	apps/api/src/db/schema.ts:1934	-	-
ndfl_tax_calculators	ndflTaxCalculators	0	0	0	apps/api/src/db/schema.ts:1945	-	-
non_dental_examination_forms	nonDentalExaminationForms	0	0	0	apps/api/src/db/schema.ts:1208	-	-
patient_consents	patientConsents	0	0	0	apps/api/src/db/schema.ts:312	-	-
patient_duplicate_merge_queues	patientDuplicateMergeQueues	0	0	0	apps/api/src/db/schema.ts:1773	-	-
patient_service_lineages	patientServiceLineages	0	0	0	apps/api/src/db/schema.ts:1028	-	-
previous_chat_dialog_histories	previousChatDialogHistories	0	0	0	apps/api/src/db/schema.ts:1992	-	-
pricelist_doctor_payrolls	pricelistDoctorPayrolls	0	0	0	apps/api/src/db/schema.ts:1249	-	-
prodoctorov_sync_exports	prodoctorovSyncExports	0	0	0	apps/api/src/db/schema.ts:1274	-	-
protocol_templates	protocolTemplates	0	0	0	apps/api/src/db/schema.ts:2099	-	-
quick_appointment_confirmations	quickAppointmentConfirmations	0	0	0	apps/api/src/db/schema.ts:1093	-	-
schedule_clipboard_items	scheduleClipboardItems	0	0	0	apps/api/src/db/schema.ts:1143	-	-
schedule_time_reservations	scheduleTimeReservations	0	0	0	apps/api/src/db/schema.ts:1156	-	-
services	services	0	0	0	apps/api/src/db/schema.ts:2075	-	-
system_ram_watchdogs	systemRamWatchdogs	0	0	0	apps/api/src/db/schema.ts:1722	-	-
treatment_plan_lock_tokens	treatmentPlanLockTokens	0	0	0	apps/api/src/db/schema.ts:1002	-	-
treatment_plan_print_odontograms	treatmentPlanPrintOdontograms	0	0	0	apps/api/src/db/schema.ts:1223	-	-
treatment_plan_stages	treatmentPlanStages	0	0	0	apps/api/src/db/schema.ts:1235	-	-
uis_call_speech_transcripts	uisCallSpeechTranscripts	0	0	0	apps/api/src/db/schema.ts:2003	-	-
uis_mass_appointment_confirmations	uisMassAppointmentConfirmations	0	0	0	apps/api/src/db/schema.ts:2118	-	-
uis_omni_messenger_queues	uisOmniMessengerQueues	0	0	0	apps/api/src/db/schema.ts:1065	-	-
uis_sms_chat_quotas	uisSmsChatQuotas	0	0	0	apps/api/src/db/schema.ts:2016	-	-
