               table_name                |      column_name       | data_type |       fk_column        |    foreign_table_name     | foreign_column_name 
-----------------------------------------+------------------------+-----------+------------------------+---------------------------+---------------------
 advance_deposit_taggings                | organization_id        | uuid      | organization_id        | organizations             | id
 ai_jobs                                 | imaging_study_id       | uuid      | imaging_study_id       | imaging_studies           | id
 ai_jobs                                 | organization_id        | uuid      | organization_id        | organizations             | id
 ai_jobs                                 | patient_id             | uuid      | patient_id             | patients                  | id
 ai_jobs                                 | visit_id               | uuid      | visit_id               | visits                    | id
 alternative_treatment_plans             | organization_id        | uuid      | organization_id        | organizations             | id
 appointment_channel_inheritances        | organization_id        | uuid      | organization_id        | organizations             | id
 appointment_waitlists                   | organization_id        | uuid      | organization_id        | organizations             | id
 appointment_waitlists                   | patient_id             | uuid      | patient_id             | patients                  | id
 appointments                            | assistant_user_id      | uuid      | assistant_user_id      | users                     | id
 appointments                            | chair_id               | uuid      | chair_id               | chairs                    | id
 appointments                            | doctor_user_id         | uuid      | doctor_user_id         | users                     | id
 appointments                            | organization_id        | uuid      | organization_id        | organizations             | id
 appointments                            | patient_id             | uuid      | patient_id             | patients                  | id
 attachments                             | organization_id        | uuid      | organization_id        | organizations             | id
 attachments                             | patient_id             | uuid      | patient_id             | patients                  | id
 attachments                             | visit_id               | uuid      | visit_id               | visits                    | id
 audit_events                            | actor_user_id          | uuid      | actor_user_id          | users                     | id
 audit_events                            | organization_id        | uuid      | organization_id        | organizations             | id
 bulk_image_operation_logs               | organization_id        | uuid      | organization_id        | organizations             | id
 cancellation_reasons_two_level          | organization_id        | uuid      | organization_id        | organizations             | id
 chairs                                  | clinic_id              | uuid      | clinic_id              | clinics                   | id
 chairs                                  | organization_id        | uuid      | organization_id        | organizations             | id
 chat_message_dispatch_statuses          | organization_id        | uuid      | organization_id        | organizations             | id
 clinic_chairs                           | organization_id        | uuid      | organization_id        | organizations             | id
 clinic_workflows                        | organization_id        | uuid      | organization_id        | organizations             | id
 clinical_audit_logs                     | organization_id        | uuid      | organization_id        | organizations             | id
 clinical_rules                          | organization_id        | uuid      | organization_id        | organizations             | id
 clinics                                 | organization_id        | uuid      | organization_id        | organizations             | id
 collaborative_chat_processing_states    | organization_id        | uuid      | organization_id        | organizations             | id
 communication_events                    | actor_user_id          | uuid      | actor_user_id          | users                     | id
 communication_events                    | clinic_id              | uuid      | clinic_id              | clinics                   | id
 communication_events                    | organization_id        | uuid      | organization_id        | organizations             | id
 communication_events                    | patient_id             | uuid      | patient_id             | patients                  | id
 communication_events                    | task_id                | uuid      | task_id                | communication_tasks       | id
 communication_outbox                    | clinic_id              | uuid      | clinic_id              | clinics                   | id
 communication_outbox                    | organization_id        | uuid      | organization_id        | organizations             | id
 communication_outbox                    | patient_id             | uuid      | patient_id             | patients                  | id
 communication_outbox                    | task_id                | uuid      | task_id                | communication_tasks       | id
 communication_outbox                    | template_id            | uuid      | template_id            | communication_templates   | id
 communication_settings                  | organization_id        | uuid      | organization_id        | organizations             | id
 communication_tasks                     | appointment_id         | uuid      | appointment_id         | appointments              | id
 communication_tasks                     | clinic_id              | uuid      | clinic_id              | clinics                   | id
 communication_tasks                     | document_id            | uuid      | document_id            | generated_documents       | id
 communication_tasks                     | organization_id        | uuid      | organization_id        | organizations             | id
 communication_tasks                     | patient_id             | uuid      | patient_id             | patients                  | id
 communication_tasks                     | visit_id               | uuid      | visit_id               | visits                    | id
 communication_templates                 | clinic_id              | uuid      | clinic_id              | clinics                   | id
 communication_templates                 | organization_id        | uuid      | organization_id        | organizations             | id
 confirmation_performance_reports        | organization_id        | uuid      | organization_id        | organizations             | id
 crm_email_dispatch_logs                 | organization_id        | uuid      | organization_id        | organizations             | id
 crm_leads                               | organization_id        | uuid      | organization_id        | organizations             | id
 custom_crm_task_types                   | organization_id        | uuid      | organization_id        | organizations             | id
 custom_examination_form_catalogs        | organization_id        | uuid      | organization_id        | organizations             | id
 dadata_geocoded_addresses               | organization_id        | uuid      | organization_id        | organizations             | id
 dente_max_bot_configs                   | organization_id        | uuid      | organization_id        | organizations             | id
